DistID,District,Bedrooms,Bathrooms,Price,Size,Url
9,Moncloa,4,4,1290000,562,http://www.idealista.com/38401223
8,Fuencarral,6,4,1590000,639,http://www.idealista.com/37325837
8,Fuencarral,4,3,1750000,420,http://www.idealista.com/32052125
4,Salamanca,7,4,2500000,315,http://www.idealista.com/38759626
4,Salamanca,5,2,895000,145,http://www.idealista.com/38301740
11,Carabanchel,3,2,378000,150,http://www.idealista.com/38164606
16,Hortaleza,2,2,360000,83,http://www.idealista.com/38085925
20,San Blas,2,2,293000,83,http://www.idealista.com/37686946
5,Chamartín,4,3,1050000,295,http://www.idealista.com/36973706
7,Chamberí,4,3,1175000,255,http://www.idealista.com/37372252
16,Hortaleza,5,5,1250000,390,http://www.idealista.com/38835938
9,Moncloa,8,5,650000,456,http://www.idealista.com/38231721
9,Moncloa,4,4,1200000,195,http://www.idealista.com/28726321
3,Retiro,3,1,330000,115,http://www.idealista.com/38816431
5,Chamartín,3,3,890000,236,http://www.idealista.com/37694943
8,Fuencarral,4,4,895000,312,http://www.idealista.com/37056146
3,Retiro,1,1,315000,52,http://www.idealista.com/38724348
7,Chamberí,3,1,442000,89,http://www.idealista.com/38555949
15,Ciudad Lineal,5,3,795000,286,http://www.idealista.com/37439925
8,Fuencarral,5,5,1090000,320,http://www.idealista.com/35718817
16,Hortaleza,7,5,1900000,349,http://www.idealista.com/34826452
16,Hortaleza,5,3,795000,218,http://www.idealista.com/34496983
9,Moncloa,4,5,1500000,350,http://www.idealista.com/32749032
9,Moncloa,6,5,1500000,424,http://www.idealista.com/26604496
16,Hortaleza,4,5,1500000,400,http://www.idealista.com/453240
9,Moncloa,5,4,1600000,340,http://www.idealista.com/25473186
9,Moncloa,7,5,1315000,650,http://www.idealista.com/806405
5,Chamartín,4,3,775000,164,http://www.idealista.com/37534229
9,Moncloa,3,2,453000,90,http://www.idealista.com/38862636
4,Salamanca,3,2,950000,130,http://www.idealista.com/38861768
4,Salamanca,3,2,620000,111,http://www.idealista.com/38813901
7,Chamberí,3,2,1400000,212,http://www.idealista.com/38717587
4,Salamanca,5,3,990000,203,http://www.idealista.com/38299594
15,Ciudad Lineal,4,3,1300000,292,http://www.idealista.com/38151181
5,Chamartín,3,2,997000,187,http://www.idealista.com/38124411
3,Retiro,2,2,425000,100,http://www.idealista.com/37473540
4,Salamanca,5,3,1465000,295,http://www.idealista.com/37311122
4,Salamanca,3,3,849000,129,http://www.idealista.com/37252197
4,Salamanca,5,4,1350000,317,http://www.idealista.com/38557881
4,Salamanca,2,2,695000,90,http://www.idealista.com/33721292
1,Centro,4,3,1274999,277,http://www.idealista.com/38421602
7,Chamberí,5,3,850000,247,http://www.idealista.com/38353343
7,Chamberí,1,2,750000,104,http://www.idealista.com/38310147
2,Arganzuela,1,1,150000,44,http://www.idealista.com/38297311
8,Fuencarral,6,4,1495000,498,http://www.idealista.com/38200584
1,Centro,2,2,690000,164,http://www.idealista.com/37587156
5,Chamartín,4,3,1350000,272,http://www.idealista.com/37515944
7,Chamberí,3,3,1095000,200,http://www.idealista.com/31642016
5,Chamartín,4,3,850000,151,http://www.idealista.com/36796340
4,Salamanca,4,5,2400000,348,http://www.idealista.com/36223764
5,Chamartín,5,6,2500000,467,http://www.idealista.com/27887087
7,Chamberí,5,3,905000,263,http://www.idealista.com/34971470
5,Chamartín,3,2,450000,131,http://www.idealista.com/34761825
5,Chamartín,5,5,1700000,450,http://www.idealista.com/34466101
5,Chamartín,4,3,1100000,239,http://www.idealista.com/32422691
9,Moncloa,5,3,2100000,507,http://www.idealista.com/31817462
4,Salamanca,4,4,1680000,373,http://www.idealista.com/31391833
7,Chamberí,3,3,1095000,200,http://www.idealista.com/28724592
10,Latina,3,1,136000,98,http://www.idealista.com/36582716
5,Chamartín,4,5,1125000,197,http://www.idealista.com/38643132
5,Chamartín,6,2,795000,216,http://www.idealista.com/37530477
5,Chamartín,1,1,265000,46,http://www.idealista.com/38998995
6,Tetuán,5,2,635000,172,http://www.idealista.com/39001834
7,Chamberí,5,3,850000,299,http://www.idealista.com/38748740
1,Centro,1,1,180000,45,http://www.idealista.com/38499759
7,Chamberí,3,2,3100000,273,http://www.idealista.com/38444844
3,Retiro,4,2,1595000,220,http://www.idealista.com/38997462
7,Chamberí,3,3,980000,179,http://www.idealista.com/35613374
1,Centro,2,1,415000,103,http://www.idealista.com/39000780
13,Puente de Vallecas,2,1,79900,55,http://www.idealista.com/38525138
6,Tetuán,2,1,233000,75,http://www.idealista.com/38485349
9,Moncloa,3,1,195000,77,http://www.idealista.com/34214211
5,Chamartín,3,1,255000,77,http://www.idealista.com/38818060
7,Chamberí,4,2,890000,191,http://www.idealista.com/37329720
1,Centro,3,3,1575000,210,http://www.idealista.com/38259365
4,Salamanca,3,2,780000,180,http://www.idealista.com/38965126
15,Ciudad Lineal,2,1,114000,76,http://www.idealista.com/38485327
13,Puente de Vallecas,3,2,249900,110,http://www.idealista.com/38449668
5,Chamartín,4,2,445900,145,http://www.idealista.com/38373631
20,San Blas,3,1,163900,85,http://www.idealista.com/35846091
8,Fuencarral,4,4,770000,375,http://www.idealista.com/37515639
16,Hortaleza,6,4,1180000,310,http://www.idealista.com/37532813
15,Ciudad Lineal,2,1,133000,55,http://www.idealista.com/37748854
15,Ciudad Lineal,3,1,209900,90,http://www.idealista.com/38284362
20,San Blas,4,1,212000,110,http://www.idealista.com/38766530
5,Chamartín,6,3,795000,216,http://www.idealista.com/38546744
9,Moncloa,9,9,3000000,2400,http://www.idealista.com/30010789
5,Chamartín,5,4,2300000,308,http://www.idealista.com/38645108
9,Moncloa,5,2,999000,740,http://www.idealista.com/35186465
11,Carabanchel,4,2,210000,120,http://www.idealista.com/38987962
12,Usera,3,1,132000,81,http://www.idealista.com/38970536
9,Moncloa,5,4,2800000,450,http://www.idealista.com/38942122
3,Retiro,4,2,478000,100,http://www.idealista.com/38424161
21,Barajas,4,4,1050000,430,http://www.idealista.com/38951510
1,Centro,1,1,155000,33,http://www.idealista.com/38942689
3,Retiro,4,2,685000,178,http://www.idealista.com/38930364
5,Chamartín,3,1,295000,91,http://www.idealista.com/38651478
4,Salamanca,7,4,2900000,448,http://www.idealista.com/35319412
8,Fuencarral,0,1,250000,51,http://www.idealista.com/38611528
9,Moncloa,4,3,1750000,313,http://www.idealista.com/38580236
5,Chamartín,3,2,399000,105,http://www.idealista.com/38572092
20,San Blas,3,1,257400,84,http://www.idealista.com/38485350
7,Chamberí,3,3,889000,170,http://www.idealista.com/38345477
16,Hortaleza,4,3,795000,346,http://www.idealista.com/38305678
5,Chamartín,5,3,999900,203,http://www.idealista.com/38278681
4,Salamanca,5,2,589900,144,http://www.idealista.com/38245877
16,Hortaleza,3,1,236000,83,http://www.idealista.com/38238285
15,Ciudad Lineal,4,2,499000,167,http://www.idealista.com/38227104
14,Moratalaz,3,2,379900,145,http://www.idealista.com/38226696
